slot_number,brand_id,month,content_pillar,topic,working_title,primary_service,primary_area,primary_keyword,supporting_keywords,format,platforms,offer_or_event,image_requirement,proof_requirement,claim_requirement,status,package_content_type
11,724-locksmith-ca,2026-08,commercial,Property-manager rekey workflow,A San Fernando Valley Property-Manager Rekeying Workflow,Property-management rekeying,Van Nuys,property-management rekeying SFV,Van Nuys property rekeying|Studio City commercial rekeying,educational,website_blog,none,none,approved_profile,none,approved,blog
12,724-locksmith-ca,2026-08,residential,Repair versus replacement,How to Compare Lock Repair and Replacement in the SFV,Residential lock repair,Sherman Oaks,North Hollywood residential lock repair,Encino deadbolt repair|Sherman Oaks commercial lock repair,trust_process,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con evaluacion visual y explicacion neutral,approved_profile,none,approved,reel
13,724-locksmith-ca,2026-08,residential,Home lockout documentation,What to Bring for a North Hollywood House Lockout,House lockout assistance,North Hollywood,North Hollywood house lockout,North Hollywood lock rekeying|apartment rekeying North Hollywood,educational,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 con identificacion anonima y entrada residencial,approved_profile,none,approved,image
14,724-locksmith-ca,2026-08,commercial,Storefront cylinder replacement,When a Burbank Storefront Cylinder Should Be Replaced,Storefront lock repair,Burbank,storefront cylinder replacement Burbank,Burbank storefront lock repair|commercial door hardware North Hollywood,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 de cilindro comercial y puerta de tienda,approved_profile,none,approved,video
15,724-locksmith-ca,2026-08,automotive,Studio City vehicle lockout preparation,Preparing for Car Lockout Assistance in Studio City,Car lockout assistance,Studio City,Studio City car lockout,car lockout Burbank,service_spotlight,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con vehiculo cerrado sin llaves fobs ni ignicion,approved_profile,none,approved,reel
16,724-locksmith-ca,2026-08,residential,Door and lock alignment,How Glendale Homeowners Can Describe a Misaligned Door Lock,Residential lock repair,Glendale,Glendale residential lock repair,Glendale office lock repair|North Hollywood residential lock repair,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con puerta residencial marco y cerradura desalineada,approved_profile,none,approved,image
17,724-locksmith-ca,2026-08,commercial,Office lock maintenance,Preventive Office Lock Maintenance in Studio City,Office lock repair,Studio City,office lock maintenance Studio City,Studio City commercial rekeying|commercial door hardware North Hollywood,educational,website_blog,none,none,approved_profile,none,approved,blog
18,724-locksmith-ca,2026-08,automotive,Burbank safe waiting guidance,Safe Waiting Choices During a Burbank Car Lockout,Car lockout assistance,Burbank,car lockout Burbank,Burbank office lockout,local_market,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 de persona en zona segura junto a vehiculo,approved_profile,none,approved,reel
19,724-locksmith-ca,2026-08,residential,Valley Village rental lock repair,Lock Repair Questions for Valley Village Rentals,Residential lock repair,Valley Village,Valley Village apartment lock repair,Valley Glen home rekeying|apartment rekeying North Hollywood,educational,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Imagen horizontal 1200x628 de puerta de apartamento y lista de preguntas,approved_profile,none,approved,image
20,724-locksmith-ca,2026-08,local,North Hollywood service planning,How North Hollywood Homes and Shops Need Different Lock Planning,Residential lock repair,North Hollywood,North Hollywood residential lock repair,commercial door hardware North Hollywood|North Hollywood lock rekeying,short_form_video_script,facebook|instagram|youtube|linkedin|x,none,Video horizontal 1920x1080 contrastando vivienda y local comercial,approved_profile,none,approved,video
21,724-locksmith-ca,2026-08,automotive,Vehicle entry scope,Car Lockout FAQ: What Vehicle Entry Assistance Includes,Emergency vehicle entry,Burbank,car lockout Burbank,Studio City car lockout,faq,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con alcance permitido y exclusiones de llaves automotrices,approved_profile,none,approved,reel
22,724-locksmith-ca,2026-08,local,Burbank storefront maintenance,Burbank Storefront Lock Maintenance by Opening and Closing Shift,Storefront lock repair,Burbank,Burbank storefront lock repair,storefront cylinder replacement Burbank|office lock maintenance Studio City,carousel,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,none,Carrusel 1200x628 con rutinas de apertura y cierre de tienda,approved_profile,none,approved,image
23,724-locksmith-ca,2026-08,local,Studio City commercial access,Access Planning for a Studio City Small Business,Commercial rekeying,Studio City,Studio City commercial rekeying,office lock maintenance Studio City|property-management rekeying SFV,service_spotlight,website_blog,none,none,approved_profile,none,approved,blog
24,724-locksmith-ca,2026-08,trust,Mobile service expectations,What Clear Mobile Locksmith Scheduling Should Confirm in the SFV,Commercial lockout assistance,North Hollywood,Burbank office lockout|North Hollywood house lockout,property-management rekeying SFV,trust_process,instagram|facebook|tiktok|youtube|threads,none,Video vertical 1080x1920 con llamada agenda y confirmacion de area sin tiempos garantizados,approved_profile,none,approved,reel
25,724-locksmith-ca,2026-08,offer,Owner-approved offer placeholder,SFV Service Offer Pending Complete Owner Terms,Home rekeying,North Hollywood,North Hollywood lock rekeying,Valley Glen home rekeying,approved_offer_slot,facebook|instagram|linkedin|x|threads|pinterest|bluesky|google_business,owner_approval_required,Imagen horizontal 1200x628 sin precio descuento fecha ni garantia,approved_offer,approved_offer_terms,approved,image
26,724-locksmith-ca,2026-08,trust,Commercial access documentation,Why Businesses Should Document Who Can Authorize Lock Work,Commercial rekeying,Burbank,Studio City commercial rekeying,Burbank storefront lock repair|property-management rekeying SFV,seasonal,instagram|facebook|tiktok|youtube|threads,seasonal,Video vertical 1080x1920 con registro de autorizacion comercial sin datos reales,approved_profile,none,approved,reel
