brand_id,keyword,normalized_keyword,intent,service_pillar,location,brand_owner,confidence,source,approval_status,notes
247-lockout-pasadena,Pasadena deadbolt alignment,pasadena deadbolt alignment,informational,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,proof of access locksmith Pasadena,proof of access locksmith pasadena,informational,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,
247-lockout-pasadena,broken key extraction Pasadena,broken key extraction pasadena,transactional,residential,Pasadena,247-lockout-pasadena,high,owner_policy,approved,Residential lock only
724-locksmith-ca,North Hollywood house lockout,north hollywood house lockout,transactional,residential,North Hollywood,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,North Hollywood lock rekeying,north hollywood lock rekeying,transactional,residential,North Hollywood,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,North Hollywood residential lock repair,north hollywood residential lock repair,transactional,residential,North Hollywood,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,smart-lock installation North Hollywood,smart lock installation north hollywood,commercial,residential,North Hollywood,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,Burbank storefront lock repair,burbank storefront lock repair,transactional,commercial,Burbank,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,Burbank office lockout,burbank office lockout,transactional,commercial,Burbank,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,car lockout Burbank,car lockout burbank,transactional,automotive,Burbank,724-locksmith-ca,high,owner_policy,approved,Vehicle entry only
724-locksmith-ca,Studio City commercial rekeying,studio city commercial rekeying,transactional,commercial,Studio City,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,Studio City car lockout,studio city car lockout,transactional,automotive,Studio City,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,Valley Village apartment lock repair,valley village apartment lock repair,transactional,residential,Valley Village,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,Valley Glen home rekeying,valley glen home rekeying,transactional,residential,Valley Glen,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,Sherman Oaks commercial lock repair,sherman oaks commercial lock repair,transactional,commercial,Sherman Oaks,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,Van Nuys property rekeying,van nuys property rekeying,commercial,commercial,Van Nuys,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,Glendale office lock repair,glendale office lock repair,transactional,commercial,Glendale,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,Glendale residential lock repair,glendale residential lock repair,transactional,residential,Glendale,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,Encino deadbolt repair,encino deadbolt repair,transactional,residential,Encino,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,property-management rekeying SFV,property management rekeying sfv,commercial,commercial,San Fernando Valley,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,commercial door hardware North Hollywood,commercial door hardware north hollywood,commercial,commercial,North Hollywood,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,storefront cylinder replacement Burbank,storefront cylinder replacement burbank,transactional,commercial,Burbank,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,office lock maintenance Studio City,office lock maintenance studio city,informational,commercial,Studio City,724-locksmith-ca,high,owner_policy,approved,
724-locksmith-ca,apartment rekeying North Hollywood,apartment rekeying north hollywood,transactional,residential,North Hollywood,724-locksmith-ca,high,owner_policy,approved,
daniels-locksmith,Hollywood lock rekeying,hollywood lock rekeying,transactional,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,Los Angeles residential lock repair,los angeles residential lock repair,transactional,residential,Los Angeles,daniels-locksmith,high,owner_policy,approved,Confirmed Hollywood-area use only
daniels-locksmith,smart-lock installation Hollywood,smart lock installation hollywood,commercial,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,deadbolt repair Hollywood,deadbolt repair hollywood,transactional,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,apartment rekeying Los Angeles,apartment rekeying los angeles,transactional,residential,Los Angeles,daniels-locksmith,high,owner_policy,approved,Confirmed coverage only
daniels-locksmith,move-in rekeying Hollywood,move in rekeying hollywood,commercial,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,commercial lock repair Hollywood,commercial lock repair hollywood,transactional,commercial,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,car lockout Hollywood,car lockout hollywood,transactional,automotive,Hollywood,daniels-locksmith,high,owner_policy,approved,Vehicle entry only
daniels-locksmith,lock cylinder replacement Hollywood,lock cylinder replacement hollywood,transactional,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,tenant-change rekeying Hollywood,tenant change rekeying hollywood,commercial,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,broken key extraction Hollywood,broken key extraction hollywood,transactional,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,Residential lock only
daniels-locksmith,deadbolt alignment Hollywood,deadbolt alignment hollywood,informational,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,lock repair versus replacement Hollywood,lock repair versus replacement hollywood,informational,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,smart-lock compatibility Hollywood,smart lock compatibility hollywood,informational,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,apartment lockout Hollywood,apartment lockout hollywood,transactional,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,home lockout Hollywood,home lockout hollywood,transactional,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,owner-operated locksmith Hollywood,owner operated locksmith hollywood,commercial,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,Process positioning only
daniels-locksmith,commercial rekeying Hollywood,commercial rekeying hollywood,transactional,commercial,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,residential lock replacement Hollywood,residential lock replacement hollywood,transactional,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
daniels-locksmith,new-home rekeying Hollywood,new home rekeying hollywood,transactional,residential,Hollywood,daniels-locksmith,high,owner_policy,approved,
unlocked-pros,Pasadena commercial rekeying,pasadena commercial rekeying,transactional,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,Usable only after destination verification
unlocked-pros,Pasadena storefront lock repair,pasadena storefront lock repair,transactional,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,Usable only after destination verification
unlocked-pros,office lock repair Pasadena,office lock repair pasadena,transactional,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,property-management rekeying Pasadena,property management rekeying pasadena,transactional,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,apartment-building lock service Pasadena,apartment building lock service pasadena,transactional,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,commercial door hardware Pasadena,commercial door hardware pasadena,commercial,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,office lockout Pasadena,office lockout pasadena,transactional,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,master-key planning Pasadena,master key planning pasadena,commercial,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,storefront cylinder repair Pasadena,storefront cylinder repair pasadena,transactional,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,commercial lock replacement Pasadena,commercial lock replacement pasadena,transactional,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,apartment turnover rekeying Pasadena,apartment turnover rekeying pasadena,commercial,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,multi-unit lock maintenance Pasadena,multi unit lock maintenance pasadena,commercial,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,property access documentation Pasadena,property access documentation pasadena,informational,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,commercial door alignment Pasadena,commercial door alignment pasadena,informational,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,residential lock repair Pasadena,residential lock repair pasadena,transactional,residential,Pasadena,unlocked-pros,high,owner_policy,approved,Secondary role
unlocked-pros,home rekeying Pasadena commercial owner,home rekeying pasadena commercial owner,commercial,residential,Pasadena,unlocked-pros,high,owner_policy,approved,Distinct landlord audience
unlocked-pros,car lockout Pasadena business district,car lockout pasadena business district,transactional,automotive,Pasadena,unlocked-pros,high,owner_policy,approved,Vehicle entry only
unlocked-pros,commercial access planning Pasadena,commercial access planning pasadena,commercial,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,storefront lock maintenance Pasadena,storefront lock maintenance pasadena,informational,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
unlocked-pros,property-manager locksmith Pasadena,property manager locksmith pasadena,commercial,commercial,Pasadena,unlocked-pros,high,owner_policy,approved,
